Scheme Name,1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y
IDBI India Top 100 Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-1%,9%,1%,27%,25%,22%,16%
UTI Mastershare Unit Scheme - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-2%,9%,0%,22%,24%,21%,17%
Invesco India Largecap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-1%,10%,1%,29%,24%,20%,17%
Edelweiss Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-1%,7%,1%,19%,22%,19%,17%
LIC MF Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-2%,9%,0%,20%,19%,19%,15%
IDFC Large Cap - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-1%,9%,1%,20%,23%,19%,16%
JM Large Cap Fund - (Direct) - GrowthLarge Cap Fund,3%,-2%,-2%,8%,0%,19%,22%,16%,13%
Canara Robeco Bluechip Equity Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-2%,7%,1%,19%,25%,23%,19%
Kotak Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-2%,7%,0%,22%,23%,21%,16%
Union Largecap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-4%,-5%,7%,-2%,19%,22%,18%,-
Axis Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,3%,-4%,-4%,5%,-2%,16%,19%,20%,20%
Sundaram Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-2%,7%,1%,22%,-,-,-
Mirae Asset Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-2%,7%,0%,20%,23%,19%,17%
Tata Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-1%,8%,2%,24%,22%,19%,15%
Aditya Birla Sun Life Frontline Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-1%,-2%,7%,1%,21%,23%,18%,14%
Franklin India Bluechip Fund - Direct - GrowthLarge Cap Fund,2%,-2%,-4%,5%,0%,19%,24%,18%,13%
SBI Blue Chip Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,6%,0%,17%,22%,20%,15%
BNP Paribas Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-2%,7%,2%,18%,21%,21%,17%
Navi Large Cap Equity Fund - Direct Plan - GrowthLarge Cap Fund,2%,-3%,-2%,6%,-1%,21%,21%,19%,14%
ICICI Prudential Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,2%,0%,0%,10%,2%,23%,24%,20%,16%
HSBC Large Cap Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-1%,8%,1%,16%,21%,19%,15%
Baroda Large Cap Fund - Plan B (Direct) - GrowthLarge Cap Fund,3%,-2%,-3%,4%,0%,17%,20%,17%,13%
Nippon India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,1%,0%,11%,3%,26%,22%,17%,16%
L&T India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-3%,6%,0%,18%,19%,18%,14%
Taurus Largecap Equity Fund - Direct Plan - GrowthLarge Cap Fund,2%,0%,-2%,4%,2%,14%,16%,13%,10%
PGIM India Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,3%,0%,15%,19%,17%,14%
DSP Top 100 Equity Fund - Direct Plan - GrowthLarge Cap Fund,3%,-2%,-3%,1%,0%,14%,14%,16%,11%
Indiabulls Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-3%,7%,2%,16%,16%,15%,14%
HDFC Top 100 Fund - Direct Plan - GrowthLarge Cap Fund,2%,0%,-1%,9%,3%,19%,21%,15%,13%
BOI AXA Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,3%,-4%,-4%,4%,-2%,-,-,-,-
BOI AXA Bluechip Fund - Direct Plan - GrowthLarge Cap Fund,3%,-4%,-4%,4%,-2%,-,-,-,-
ITI Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,7%,0%,15%,-,-,-
ITI Large Cap Fund - Direct Plan - GrowthLarge Cap Fund,2%,-2%,-3%,7%,0%,15%,-,-,-
Mahindra Manulife Large Cap Pragati Yojana - Direct Plan - GrowthLarge Cap Fund,2%,-1%,-2%,8%,1%,23%,24%,-,-
Sundaram Large Cap Fund - Direct Plan - Growth (Adjusted NAV)Large Cap Fund,-,-,-,-,-,-,-,-,-
