,Stock Name,Growth Percentage
0,RELIANCE.NS,13.14
1,TCS.NS,9.83
2,INFY.NS,6.64
3,WIPRO.NS,7.31
4,HDFCBANK.NS,14.15
5,ICICIBANK.NS,13.21
6,SBIN.NS,28.07
7,BAJFINANCE.NS,29.9
8,BHARTIARTL.NS,10.35
9,KOTAKBANK.NS,17.32
10,HCLTECH.NS,14.7
11,ASIANPAINT.NS,10.77
12,ADANIGREEN.NS,41.09
13,ITC.NS,2.23
14,LT.NS,12.38
15,DMART.NS,15.23
16,MARUTI.NS,-7.77
17,BAJAJFINSV.NS,25.25
18,AXISBANK.NS,21.97
19,ADANITRANS.NS,27.46
20,TITAN.NS,6.59
21,SUNPHARMA.NS,9.26
22,ULTRACEMCO.NS,15.4
23,ONGC.NS,-2.62
24,ATGL.NS,22.84
25,ADANIENT.NS,16.41
26,NESTLEIND.NS,10.87
27,TATAMOTORS.NS,-5.29
28,JSWSTEEL.NS,9.31
29,POWERGRID.NS,9.97
30,TECHM.NS,11.57
31,HINDZINC.NS,0.69
32,VEDL.NS,3.38
33,HDFCLIFE.NS,11.79
34,NTPC.NS,13.27
35,PIDILITIND.NS,7.31
36,HINDALCO.NS,9.86
37,IOC.NS,3.76
38,SBILIFE.NS,10.83
39,DIVISLAB.NS,26.73
40,GRASIM.NS,17.43
41,LTI.NS,23.82
42,M&M.NS,12.53
43,BAJAJ-AUTO.NS,2.48
44,DABUR.NS,7.1
45,DLF.NS,-10.29
46,COALINDIA.NS,3.55
47,GODREJCP.NS,3.17
48,SHREECEM.NS,12.52
49,SIEMENS.NS,3.5
50,BRITANNIA.NS,13.41
51,BPCL.NS,9.91
52,TATAPOWER.NS,5.41
53,SBICARD.NS,24.54
54,ICICIPRULI.NS,11.49
55,CIPLA.NS,6.61
56,INDIGO.NS,12.41
57,SRF.NS,20.74
58,DRREDDY.NS,10.55
59,EICHERMOT.NS,-5.84
60,INDUSTOWER.NS,34.2
61,IRCTC.NS,8.26
62,APOLLOHOSP.NS,6.31
63,ICICIGI.NS,18.65
64,MARICO.NS,7.87
65,MINDTREE.NS,22.09
66,GAIL.NS,1.12
67,MCDOWELL-N.NS,-5.09
68,NAUKRI.NS,3.95
69,PAYTM.NS,-16.9
70,PEL.NS,5.99
71,UPL.NS,29.92
72,GLAND.NS,28.53
73,BAJAJHLDNG.NS,1.75
74,MPHASIS.NS,14.81
75,MOTHERSUMI.NS,4.71
76,MUTHOOTFIN.NS,16.02
77,BANKBARODA.NS,40.41
78,CHOLAFIN.NS,19.7
79,HEROMOTOCO.NS,-3.95
80,IDBI.NS,-18.26
81,BANDHANBNK.NS,22.23
82,BEL.NS,9.87
83,ABB.NS,0.39
84,HDFCAMC.NS,13.95
85,JSWENERGY.NS,0.05
